book_id;review_id;review_rating;sentence;kmeans_label
8578601777;RQW86MALQNS0H;5;Lindo, qualidade top e entrega rápida;2
8575422391;R4GWASWAXA12T;5;Livro de leitura fluida, fácil entendimento e com ensinamentos super interessantes.;1
8501112518;R1A2I8GF0FWPE3;5;A leitura é intensa e marcada por altos e baixos na vida de Lily e é nessa montanha russa que somos largados.;1
8539004119;RQW4V09ZX1YI3;5;Super recomendo!;0
8568014003;ROO8VVG98ICIH;5;Muitos hoje vivem a vida alienados.;1
8501076252;R15B40T5BNXWLG;4;eu sou mais do romance cheio de coisas lindas lindas lindas.;1
8595084742;RH85XADV2BQUI;5;Além disso, a minha encomenda chegou em menos de 48 horas.;2
8501304468;R3R9VL9HGCAKS9;5;De início, houve um problema para entregar na minha cidade.;1
8535909559;RS3Q33T4JMSTJ;4;O produto chegou impecável e sem nenhum defeito.;2
8551002341;RLAUTDY3TS3FJ;5;Amor &amp, Gelato fez isso comigo.;3
8543102146;R1XUYOOLLXZKB3;5;Vale a pena.;0
8568014003;R1XHSIT0STMP5F;4;Plantar na nossa mente a incerteza de sua existência.;1
8545202210;RMBFEZE9RFHZ2;5;recebido;3
8543106591;RQK6YX3NLO8FU;5;mas as nuances são muitas.;1
8501105732;R2UNPT2PG0UPTW;3;Eu adivinhei o final inteiro, tudo mesmo...;1
6599039812;R5DJ35YZ0MB0Q;5;Recomendo demais!;0
8576849941;RTH71NXPD1J2R;5;Excepcional livro;3
8565765695;R3BOWHNXZIPRO9;5;entrega rápida e antes do esperado, só chegou um pouco amassadinho em cima, mas nada que atrapalhe;2
6555650001;RP4MVWRWA5I9U;5;Julua Quinn.;3
8568014003;R2JJ0SFDYZ6FKC;4;Grande partes dos autores atuais que tenho lido baseiam-se nas obras de NH que é datada de 1928 após uma pesquisa de 20 anos com mais influentes nomes de sucesso e fracasso do século passado.;1
8575422391;R33IW8I9TML6A9;5;Livro aborda diversos assuntos importantíssimos para vida de qualquer pessoa, faz com que o leitor reflita sobre seus pensamentos, ações e crenças.;1
8575422391;R3M42B4H8APP88;5;O autor sugere que não se perca tempo tentando mudar pessoas, tente melhorar a si próprio e fazer com que a sua luz dissipe a escuridão de dentro dos outros (vale ficar que difere da opinião do Geraldo Rufino em o poder da positividade).;1
8542209826;R3L547X0SOVEF6;5;Você não será a mesma pessoa depois dela...;1
8576849941;R2LXG3I1W3ZGBV;5;Livro top;3
8501105732;R2Y2U2TTPGPTT4;5;O livro tem uma história marcante e viciante.;1
8595084742;RRK82BRQ96VJ6;5;Amei essa edição da Harper Collins, é o que Tolkien sempre mereceu.;1
8501112518;R378M2ETHWLC8W;5;Esse livro me fez refletir de várias formas.;1
8595084742;R2V1XLL48ONLP4;5;A única ressalva a ser feita, é que, o letreiro prateado da capa se apagou com menos de um mês.;1
8551006754;R2LBMXK1A9KZIF;5;P.S. é possível que ocorra um estranhamento para aqueles que estão acostumados com o filme, porque as ilustrações são bem diferentes, mas não é nada que roube de fato a essência .;1
8595083274;R2QCP9RELH3JGR;5;Texto bem didático;0
8551002341;RO48FH32JMUP6;5;Leitura rápida, fácil, muito amorzinho!;0
8501112518;RV8MTRK2ZF0BX;5;Nossa, de verdade amei esse livro.;0
6555871784;R3Q9IDOQ3E96XG;5;O livro possui 1001 destaques.;0
6580309318;R27EWTX880JA5P;5;Apesar do enredo se passar no sertão nordestino, conhecido por seu clima seco e árido, o autor traz leveza e emoção, mostrando outra beleza e peculiaridade do lugar e das pessoas.;1
8545202210;R3RFE0P6AG6CXM;5;Vale a pena ler, irá somar com os demais conhecimentos que buscamos.;1
8594541473;R1CDIZT4YLTRTZ;5;Escrita fluída.;0
8550802751;R24YE7VE0TEPF9;1;se eu quisesse ler esse tipo de conteúdo de deus, eu comprava uma bíblia, e não um livro sobre regras para a vida.;1
8538058975;R3J8LKOXK16P7I;5;está apaixonada com o livro, totalmente deslumbrada.;0
8543104335;RRD1JUUY3G9Q7;5;Explicações científicas relacionadas ao cotidiano.;1
8532530788;R17OZWL4FY597W;5;Produto muito bem embalado e o livro é muito bem feito;2
8546501459;R1PZHP5A21WD26;3;alguns são tão grosseiros que irritam!;1
8576849941;R3W3AS9WAYETEB;2;Extremamente prolixo, sem embasamento adequado.;1
8582892101;R207KT5DKVDTQG;5;Gostei tanto que comprei a versão impressa (depois de ter lido o ebook) para ter como fonte de consulta.;1
8501076252;R1QLQBSOZZZCRV;5;incrivel,;0
8501112518;RHTVKAW6OSRCL;5;Collen está de parabéns!;0
6555320516;R1MRLE86PSNIFR;5;O LIVRO DA EXEMPLOS COM HISTORIAS REAIS, MUITO INTERESSANTE, O AUTOR NARRA MUITO BEM.EXCELENTE.;1
8551002341;RDT72HHYU7SNS;5;Exatamente como promete!;0
8568014003;R3HZJNKWR4LMYT;3;Existem livros que abordam o mesmo assunto de forma mais completa e inteligente.;1
8501105732;R34R8V67SS4MZQ;3;O que achei do livro?É uma história bonita.;1
8551002341;R1OKBQIZBO2UW1;5;Cheia de dúvidas se realmente quer desvendar os segredos de sua mãe, ela conhece o Lorenzo, um garoto de descendência americana que mora em uma casa de biscoito.;1
8532606261;R2TCPRWG7YZKTV;5;Complexo e emocionalmente forte;3
8535909559;R3QI974O1DWCFO;5;As apêndices do livro são ótimas para que você entenda melhor a obra.;1
8550807567;R1VIS6IOLPYL5V;5;Deixa o livro Poder do Hábito lá pra trás...;1
8555340896;R2BELS10SD4VD7;5;Recomendo muito, simplesmente maravilhosos.;0
8532530788;R24H5XTSQCLC1B;5;As folhas são amareladas, o que, para mim, torna a leitura muito menos cansativa.;1
8501117846;R2MTR5NHMBWZDU;5;Vale a pena comprar.;0
8551002341;R33XFY1Y07OCCY;5;Me surpreendi com esse livro, muito envolvente.;0
8584391673;R1M2TGQAC9FXE9;5;Sabia que seria um livro bom desde o início.;1
8546501459;R3AL0XZQ8SJIDC;5;livro muito bom, almenta nosso poder mental e descobrimos coisas muito importantes!;1
8535909559;R3PLA0WUHGYVGE;5;Ainda não li o livro, mas pelos comentários e as diversas indicações, deve ser excelente.;1
6555650001;R3I93E1MJV8QHY;5;Maravilho, lindo, o material é excelente.;0
8543105692;R1UFWQ1CLSAKU;5;Uma abordagem totalmente diferente da convencional, no qual faz você refletir muito.;1
8584391673;R2Y4D9PNCNLL70;5;Livrooo muito bom!Você realmente consegue se colocar no papel da personagem principal!;1
8580412382;R3SLA04WC2B7AV;5;Achei a história envolvente e até divertida.;1
8501117846;R1WB7QB2K287J;4;na mente de Verity...Low irá se arrepender de ter ido a fundo em sua pesquisa, descobrirá que não conhecenem um pouco Verity, muito menos;1
